Reading training examples... (65 examples) done
Iter 101: *(NumConst=96, SV=90, CEps=0.1440, QPEps=0.0553)
Iter 102: *(NumConst=96, SV=91, CEps=0.1202, QPEps=0.0577)
Iter 103: .........*(NumConst=97, SV=92, CEps=0.6060, QPEps=0.1825)
Iter 104: *(NumConst=98, SV=93, CEps=0.4306, QPEps=0.2046)
Iter 105: *(NumConst=99, SV=94, CEps=0.4171, QPEps=0.1826)
Iter 106: *(NumConst=100, SV=95, CEps=0.2591, QPEps=0.1115)
Iter 107: *(NumConst=101, SV=95, CEps=0.2341, QPEps=0.1158)
Iter 108: *(NumConst=102, SV=96, CEps=0.2476, QPEps=0.0966)
Iter 109: *(NumConst=103, SV=97, CEps=0.2204, QPEps=0.0974)
Iter 110: *(NumConst=104, SV=98, CEps=0.2180, QPEps=0.1042)
Iter 111: *(NumConst=105, SV=99, CEps=0.1335, QPEps=0.0623)
Iter 112: *(NumConst=106, SV=100, CEps=0.1282, QPEps=0.0630)
Iter 113: *(NumConst=107, SV=101, CEps=0.1356, QPEps=0.0553)
Iter 114: *(NumConst=108, SV=102, CEps=0.1101, QPEps=0.0491)
Iter 115: .........*(NumConst=109, SV=103, CEps=0.2813, QPEps=0.0969)
Iter 116: *(NumConst=109, SV=104, CEps=0.1900, QPEps=0.0867)
Iter 117: *(NumConst=110, SV=105, CEps=0.2110, QPEps=0.0882)
Iter 118: *(NumConst=111, SV=106, CEps=0.2004, QPEps=0.0869)
Iter 119: *(NumConst=111, SV=107, CEps=0.1517, QPEps=0.0730)
Iter 120: *(NumConst=112, SV=108, CEps=0.1367, QPEps=0.0667)
Iter 121: *(NumConst=113, SV=109, CEps=0.1190, QPEps=0.0558)
Iter 122: *(NumConst=114, SV=110, CEps=0.1121, QPEps=0.0550)
Iter 123: .........*(NumConst=114, SV=111, CEps=0.1744, QPEps=0.0858)
Iter 124: *(NumConst=115, SV=111, CEps=0.1398, QPEps=0.0667)
Iter 125: *(NumConst=116, SV=112, CEps=0.1168, QPEps=0.0548)
Iter 126: *(NumConst=117, SV=112, CEps=0.1158, QPEps=0.0566)
Iter 127: *(NumConst=118, SV=113, CEps=0.1006, QPEps=0.0491)
Iter 128: .........*(NumConst=119, SV=114, CEps=0.1229, QPEps=0.0572)
Iter 129: .........(NumConst=119, SV=114, CEps=0.0989, QPEps=0.0572)
Final epsilon on KKT-Conditions: 0.09886
Upper bound on duality gap: 504.08272
Dual objective value: dval=34778.66765
Primal objective value: pval=35282.75038
Total number of constraints in final working set: 119 (of 128)
Number of iterations: 129
Number of calls to 'find_most_violated_constraint': 910
Number of SV: 114 
Norm of weight vector: |w|=263.77432
Value of slack variable (on working set): xi=0.03279
Value of slack variable (global): xi=0.09886
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=0.91380
Runtime in cpu-seconds: 0.07
Final number of constraints in cache: 317
Compacting linear model...done
Writing learned model...done
