Reading training examples... (65 examples) done
Iter 114: *(NumConst=108, SV=108, CEps=0.1125, QPEps=0.0531)
Iter 115: .........*(NumConst=109, SV=109, CEps=0.1186, QPEps=0.0582)
Iter 116: *(NumConst=110, SV=110, CEps=0.1178, QPEps=0.0509)
Iter 117: .........*(NumConst=111, SV=111, CEps=0.1059, QPEps=0.0515)
Iter 118: .........(NumConst=111, SV=111, CEps=0.0777, QPEps=0.0515)
Final epsilon on KKT-Conditions: 0.07771
Upper bound on duality gap: 403.84258
Dual objective value: dval=35171.89467
Primal objective value: pval=35575.73725
Total number of constraints in final working set: 111 (of 117)
Number of iterations: 118
Number of calls to 'find_most_violated_constraint': 910
Number of SV: 111 
Norm of weight vector: |w|=265.28172
Value of slack variable (on working set): xi=0.02283
Value of slack variable (global): xi=0.07771
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=0.59901
Runtime in cpu-seconds: 0.06
Final number of constraints in cache: 306
Compacting linear model...done
Writing learned model...done
