ID,TITLE  BODY,CLASS
20151021113958AAIUKVL,Does cycling induce a relaxing mental state - why/why not?  ,Particulares
20151021122003AA6Z2hL,Is Russell Stover chocolate good?  I'm trying to decide what chocolate to get my mom for Christmas. She loves Cadbury and Lindt and she hates Palmer. Is Russell Stover high quality chocolate like Cadbury and Lindt or not really?,Particulares
20151022025502AAM4MPs,"Can you convert an internal combustion auto engine to a hybrid for more power?  Considering the engine power options of the Focus RS is limited to an inline 4 -(which I will admit 350 hp is not bad)---it would seem that since you can only get so much power out of an inline 2.3 liter 4 cylinder that the next step would be to add a hybrid motor  like the motors that "super-cars" use for an initial launch. It would seem that with an electric motor one could counter the turbo-lag associated with high performance set-ups and/or enhance the maximum power output of a car.""an you convert an internal combustion auto engine to a hybrid for more power?  Considering the engine power options of the Focus RS is limited to an inline 4 -(which I will admit 350 hp is not bad)---it ",Particulares
20151023060358AA7V3F5,"Is the ever present tag of "Racism" a ploy to distract from the ongoing moslim invasion of Europe ?  ""s the ever present tag of "Racism" a ploy to distract from the ongoing mo"" the ever present tag of "Racism" a ploy to di""the ever present tag",Particulares
20151023203848AAcD64X,Can not showering for a long time make you really itchy?  ,Particulares
20151024063251AAkEKJQ,Is this a coincidence these two native foods are hated by Muslims ?  http://www.telegraph.co.uk/news/health/n... Odd really  eaten for centuries by native people suddenly the establishment tell us they can cause cancer. Or could it be they are trying to get foods they hate banned ? Isnt it funny how they never find anything wrong with foreign food. CE. This is a current news item.Please keep it in CE. Thanks. Sauges and Bacon are the two foods of course.,Particulares
20151024071615AA7geak,Should you believe a climate scientist who manipulates data to keep the public from seeing a drop in temperatures?  ,Particulares
20151024122705AA6Pu7A,Should i take my braces off by myself?  i cant afford them anymore. so i need to take them off,Particulares
20151024154903AAJO3oG,Males  what makes a man a white knight?  I definitely dont think many people white knight me as much as they white knight women who are extremely proud of their large breasts.,Particulares
20151024185326AAqyVbQ,Second psychic told me someone burned a black candle on me?  I think its a scam but I know people who believes in that stuff so its possible. She says she wants $150 to take it off. Any time I hear that I think its definitely a scam. My friend convinced me to go both times..I'm done. But it does have me thinking because she was very confident in her reading and right about a lot.,Particulares
20151025011343AAsoQ4D,When will drinking alcohol  and smoking cigarettes be illegal? and smoking a electronic cigarette  and smoking weed be legal????  ,Particulares
20151025055614AAHuksu,Why do Roma gypsy have eyes like crows  even when they own property?  Please  no Yanks!,Particulares
20151025062013AA8dy8A,Where is it better to begin learning a foreign language: in your city/town or in a country where the language originates from?  ,Particulares
20151025170351AAVnA0R,What day does the world series start?  ,Particulares
20151025194613AAhEkXA,How do you get an iphone 5s or 6 for CHEAP?  ,Particulares
20151025201537AAMCW3z,Why are teacher bully who like to make you feel bad about your self?  ,Particulares
20151025224228AAomSKs,I have one hour to memorize a short speech for a presentation. Any memorization tips?  ,Particulares
20151026081112AA2GK2W,Do you know any pensioner (over 65) who doesn't have a high annual income?  ,Particulares
20151026091620AAqJTj3,"How often is the USA military involved with investigations concerning "terrorist funding"?  ""ow often is the USA m",Particulares
20151026093030AAf2tj4,Is this lump cancer??  It's round and hurts when you touch it and it's kind of soft,Particulares
20151026110358AAo1ZTp,Can they squeeze any more money out of us? UK?  There was an item on news this morning that a council in Essex have re-instated the street lamps being on all night. To the cost of residents! Apparently they are charging Œ£3.50 per year per household. This is obviously going to catch on. Got us by the goolies again!!,Particulares
20151026113315AAkcaLP,"Do light-skinned Israel Jews accept the fact that Moses was an African?  Here is another article in the American Jewish publication "The Forward" about Jewish DNA linked to Africa  http://forward.com/culture/140721/genes-tell-tale-of-jewish-ties-to-africa/ Here is a quote from the article. "Among its many findings  Ostreräó»s paper indicated that Jews have African ancestry äóî an observation that David Reich  associate professor of genetics at Harvard Medical School  and his colleagues decided to explore further."""o light-skinned Israel Jews accept the fact that Moses was an African?  Here is another article in the American Jewish publication "The Forward" about Jewish DNA linked to Africa  http://forward.com/culture/140721/genes-tell-tale-of-jewish-ties-to-africa/ Here is a quote from the article. "Among its many findings  Ostreräó»s paper indicated that Jews have African ancestry äóî an obse"" light-skinned Israel Jews accept the fact that Moses was an African?  Here is another article in the American Jewish publication "The Forward" about Jewish DNA linked to Africa  http://forward.com/culture/140721/genes-tell-tale-of-jewish-ties-to-africa/""light-skinned Israel Jews accept the fact that Moses was an African?  Here is another article in the American Jewish public",Particulares
20151026113329AAY8Pj8,Should I leave the grass long  late in the fall or cut short. Thanks!?  ,Particulares
20151026114920AAvnV3I,Why can't Republicans at least agree to banning assault rifles?  Why does a civilian need an assault rifle ?,Particulares
20151026122623AAnlDP6,Would it be worth losing a friend to make them a date?  ,Particulares
20151026133627AA5Gm20,How to turn on radiator?  I recently moved into an apartment building and I'm completely clueless on how to use a radiator. There doesn't seem to be a thermostat anywhere I haven't been able to figure out how to turn my radiator on. I'm sure my landlord would be the best person to ask about this  but he hasn't yet returned my calls and its COLD here so I'm hoping there's something I can do myself. For some reason Yahoo isn't allowing me to add pictures  but there is a little silver knob at the top left of the radiator. Last month when I tried to test it out  I turned the knob and nothing happened. Now water comes out when I turn the knob  but nothing heats up. Any suggestions? I tried opening the valve  how long does it need to be open for? Do you just put a bucket under the valve for the water while its open? Or does the water stop coming at any point..? Last time I tried this the water shot out for several minutes with no heat..,Particulares
20151026163559AAcFiNh,Auto Loan Question?  When I request an Auto Loan can I request a certain amount above the price of the car to cover certain things? Like say I'm buying a car for 20 thousand  can I request 21 thousand to buy something additional I wanted to the car? Or is it strictly used for the purchase of the car and nothing else. thanks Thanks for the answers  for the value of the car being higher than what I pay for it option  do banks give you the option for a direct deposit? As far as i'm reading they bank or lender will just write a check directly to the dealer. If that's the case that option goes out the window correct?,Particulares
20151026165944AAwRZTO,Why do people like sex?  ,Particulares
20151026222154AA9OCgv,Why do some people make a second Facebook account?  I've noticed several people I'm friends with on Facebook are actually inactive profiles and have another account that I'm not friends with that they use more. Why don't they just delete their old accounts? I don't talk to them anyway so I am not going to add their new accounts  but I am curious though. What was wrong with their old accounts?,Particulares
20151026231957AAVKrJS,What are the jobs available for ladies above 38?  ,Particulares
20151027024520AACXhZ4,Could I be pregnant?  Yesterday at about 2-3PM I had protected sex with my boyfriend. I am 16  he is 17. We used a condom and during intercourse I don't think it split  it was also my first time. However  when he came  he came all over my stomach  and it was a lot. When we were finished  I sat up and a bit of semen trickled down to my vagina  but it only went onto the top of my clitoris. I wiped it off as soon as possible with baby wipes. I don't think any semen got near the entrance of my vagjna  but I think some may have gotten onto my labia. Do you think there is a possibility that I could be pregnant? I'm freaking out and don't know what I should do. There is no way that I can have a child at this time. I was thinking about going to my local pharmacy and collecting a morning after pill  is this a good idea? And can I get it for free? Also  my period is due in 3 days and I am really hoping it comes  however my best friend told me that if I keep worrying about being pregnant  it could delay my pregnancy. I am completely terrified  I don't know if I could be pregnant and I don't know what to do! There is no way I can tell my mum about this either.. Please help me..,Particulares
20151027172816AAKZkxF,Why doesn't major retailers in the U.S sell region free Blu-ray players?  ,Particulares
20151028055526AAQjvGp,Chances of having multiple STD's?  I just found out I have chlymidia but I felt no symptoms. now I'm just worried I have other things. but are the chances of me having more things all at once without any symptoms high? or am I just scared?,Particulares
20151028122714AA6mXcC,Speakers or headphones?  and why,Particulares
20151028124443AAJqhlM,Help with interacting with an autistic child!?  Help! I am training to do applied behavioral analysis and I work in a clinic with autistic children. Im currently working with one now but I get completely stuck when interacting with them and can't even play or implement aba principles. What do I do? How do I make it where I am comfortable? I just got this job and It feels like it is so much harder than I need it to be. I know it all on paper  but when it comes to actually doing it I completely blank and the child runs away and refuses to participate,Particulares
20151028154202AA9pDbL,Any resturant in the Durham NC area that sells the whole crab  or lobster? The whole king sized body?  ,Particulares
20151028154331AAjaA9L,How to become A Metra train Enginer?  How does one become a train Driver for Metra or any railroad in General?,Particulares
20151029075311AAN1v4l,How to stop masturbating as a Muslim?  Only Muslims  answer please  I'm not about to change my religion. So I'm a fourteen year old struggling boy trying to become a good Muslim. I try my best to pray five times a day  read Quran regularly and etc. However  one problem which remains is that of masturbation. I've searched it up multiple times  but I never find a decent method. They say to think about people close to you who'd be disappointed and remember Allah swt  but when I suddenly feel a desire  it's as if I lose all my mind and do not come back to my senses until after the deed is done. Because of this  I even miss Salat often due to not being clean. I've pleaded with Allah swt many times  but now that this has been going on for so a year already  I'm losing hope. Sometimes I manage to stop for a few weeks but then I suddenly crack. Sometime ago I managed to stop for quite some time  but now I do it once every two days. Please do pray to Allah for me and do suggest a method by which I can fix this sinful act. Jazakallah,Particulares
20151029080528AApX6bY,Will the new gers fans settle for being also rans next season?  surely its clear to even the thickest of gers fans now that they re not gonna have the financial clout to challenge celtic next season while warbutons doing a fine job with young players and loanees in the 1 division hes gonna need backed with millions to challenge celtic would u not agree sfs? yet they say celtic fans are running scared? scared of what???,Particulares
20151029120832AAY6Vfo,Bush caused the global recession? Do these people bother to read? = = = > No respected  peer-reviewed analysis of...?  ...the 2007 recession concludes Bush or his policies caused it.,Particulares
20151029192431AAvZYS9,"Long distance girlfriend wants me to move to England?  My girlfriend and I met online four years ago. After six months and chatting through messages and Skype we decided to meet and have been visiting each other since. We want to take the next step and move in together but she lives in England while I live in Canada. I am already and British Citizen and have lived there for a year a couple years ago  I have also busted England every summer my entire life because I have family there. I really do love it there  the personalities and the humour. No matter how much I may like to visit  I can't imagine living there especially if we ever have children. The houses are small and expensive  I would be paid far less for my job and the areas we could afford wouldn't be as safe. I told we that we could wait and she could eventually move here. I said that we could look into me sponsoring her  but she's not having any of it. She loves England and that's that. We would have a better life in Canada   our combined salary could potentially be around 200k Canadian while in England we would make around 50k British. That's not bad and we could find a decent place according to British standards but coming from Canada it's a giant downgrade. Making 200k where I live would get us a better home in a safer neighbourhood and a little extra money for entertainment and holidays. I've tried so hard to convince her but she's just too in love with England. I have no idea what to do in this situation. How do I change her mind? Can you change mine? Another question  is England as "anti immigrant" that I have seen. Not that I am afraid of me coming from Canada but I am black and have noticed that a lot of the anti immigration has transferred to straight up racism. Is it that bad  or am I just overreacting?""ong distance girlfriend wants me to move to England?  My girlfriend and I met online four years ago. After six months and chatting through messages and Skype we decided to meet and have been visiting each other since. We want to",Particulares
20151030112142AAINh26,Why is Xbox One hated so much?  I have the console and love it but lots of people on the web say it's an awful console.,Particulares
20151030115909AAsnJI8,I work for Greggs and haven't been paid?  Hi  so I started working for Greggs 2 weeks ago and I get paid monthly  pay day is supposed to be Friday but I haven t got anything. I know I haven t been there an entire month but I should get paid for the first 2 weeks  right? If anyone can shed any light I ll be very grateful. Thanks.,Particulares
20151030223151AAfM9zs,My friend is acting like a prostitute?  Okay so my friend who is 16 is being payed $1000 in Canadian money and Cocaine to sleep with this 30 year old we live in British Columbia. How do I tell her this is a bad idea without saying to her she's acting like a whore!,Particulares
20151031061217AAA1KJt,Why does everyone have a four wheel drive?  ,Particulares
20151031091036AAwVcrA,Is the meat in McDonalds halal?  ,Particulares
20151031121327AArIpNM,Best beginner motorcycle?  i am looking for a vehicle to go to school with and go to my job since i don's have alot of money i have been considering getting a motorcycle (its cheaper than a car and has better gas mileage) i was considering a grom but i am a bit taller (6ft) and im not sure if i would be comfortable on it. also i might want something with a bit more power. (and i really don't want a scooter so dont recommend getting one),Particulares
20151031131013AA6kntx,How much do snow tires for a 2013 mustang 18 inch cost?  ,Particulares
20151031212428AAhk7E6,Stopped shower drain  tried everything  what happened?  I pulled all the hair out of the drain and it was running better  then i stuck the wire all the way down the drain  pulled out a huge clump  and this actually stopped the drain completely. WHY?!? did i shove another clump farther down or something? because i stick the wire as far as it can go and nothing comes out ...,Particulares
20151101013336AAFk0gZ,Is the sky blue because of the atmosphere that reflects blue?  ,Particulares
20151101035220AAju7z4,Hi. Im 13 and i want to become a model. I weight 48 5 kg and im 165 cm tall. Could i become a model. It was allways my dream. Thanks?  ,Particulares
20151101063400AAY4tha,What time is it pacific time right now?  I'm confused.,Particulares
20151101085853AAwsHo8,Will Hillary take away our guns?  I have a sneaky feeling she will 'evolve' on us like Obama did with homosexuals getting married.,Particulares
20151101104427AAMEcGq,What is the value of queen elizabeth-II 1789 2 pence coin?  What is the value of queen elizabeth-II 1979 2pence coin?,Particulares
20151101114014AAe5Ayc,Which is easier to learn? Acoustic Guitar or Electric Guitar?  I bought an acoustic guitar last year and tried to learn how to play but I found it really difficult as it really hurt to hold my fingers on strings (especially the bigger ones) but I was thinking about getting an electric guitar soon  since most of the strings on an electric guitar would be thinner  would it not hurt as much for me?,Particulares
20151101124412AAOmTY4,Please Answer this!!!?  An especially long and protracted period of economic decline marked by painfully high levels of unemployment and significant declines in real GDP is referred to as ______. a. inflation b. recession c. depression d. boom,Particulares
20151101130116AAE73eU,I'm a young  married mum. I no longer love my husband?  This is kind of my last resort  I don't know who else to ask. I'm 23 years old  got married at 20 and had a kid at 22. I think I made a mistake  I was so young and naive when I met my husband and lacked guidance from anyone. I thought we would last forever and dreamt of the day we would start a family. I love my son more than everything and would never turn back the clocks because of him. But I am so unhappy with the idea that this is my love life for life. I feel trapped and unhappy. He hasn't treated me right for ages  I was so alone and now I started working  got a lot of attention from other guys and I like one of them. I feel so guilty because my husband has now started acting like he actually cares about me  but I'm still not happy with him. I love him and ill always care for him  but I'm not IN love with him anymore. I have a kid and I don't want to break the family because of him but I'm not happy. What do I do? I would never cheat.,Particulares
20151101150148AABowKH,DIY Studio Monitors?  I've always been somewhat of an audiophile  but I didn't know a lot of the technical side until recently. I've just started getting into diy audio setups/speakers and I'm looking into making some DIY studio monitors. One thing I'm confused about is the crossover. Is there a way I can make one without buying a premade one? And is it really necessary? Why can't I just connect the 2 speakers together and connect that to my audio source? Any help would be grateful. Thanks!,Particulares
20151101162142AAXIoqq,Which is better to Live west Hollywood or north Hollywood?  So in 3 years I am moving to California  I wanna go out there for school and to try and start modeling and im just trying to gather as much info as I can about north and west Hollywood(the school I wanna go to is in the heart of Hollywood),Particulares
20151101163707AAnZCdX,INCOME REPORTING äóñ Must I report a $350 check (NY)?  . I am posing my question in the form of an example below. My full-time employer pays me $55K/year. I did a one-day consulting gig with a separate research firm that paid me $350 by check. This firm did not obtain any personally identifying info from me such as Social Security number  Birth Date  etc. They only had my name and they issued the check to my name and mailed it to my home. What happens if I do not declare this income during tax filing? Must I even report it?,Particulares
20151101185721AAyZYkI,I'm too scared to talk on the mic on Xbox?  So I've been a hardcore gamer since I was about 5. The thing is  I don't have anyone to play with. I'm a girl  and there aren't any normal gamers in my school who play games besides just call of duty. I have social anxiety  so it makes it hard to talk on the mic. It's literally impossible for me. One time I turned my mic on and off for over and hour on zombies only to leave the game  making no progress. How should I force myself to talk without being awkward? I want to communicate with people on borderlands and stuff. It's so hard.,Particulares
20151101195134AATJFuo,"Emiratis: Do you agree that your government's opposition to Islamism stems from their hatred of Islam?  From the Khaleej Times: Dr Gargash said: "In particular  we must develop better legal mechanisms to not only combat the violent actions of terrorists  but also their extremist ideologies  which aim to undermine state structures and institutions and SECULAR visions of progress and modernity." He supports SECULARISM  MEANING HE OPPOSES RULING ACCORDING TO GOD'S LAW. THIS IS APOSTASY! How do you feel about your government ministers being apostates? http://www.khaleejtimes.com/nation/government/together-we-will-rebuild-region-uae The UAE government seems to be highly opposed to Islam. Do you think that when the government speaks out against "Islamism"  it's really condemning Islam? The people here don't understand what I'm saying. I'm not talking about terrorist organizations. The UAE government and ministers have made it clear in the past that "religion should be separated from politics" and that secularism should be implemented in the Middle East. You can find the sources for these quite clear on the internet. Rather then diverging on about another subject (terrorist organizations)  how about the people here answer the question and stay on topic.""miratis: Do you agree that your government's opposition to Islamism stems from their hatred of Islam?  From the Khaleej Times: Dr Gargash said: "In particular  we must develop better legal mechanisms to not only combat the violent actions of terrorists  but also their extremist ideologies  which aim to undermine state structures and institutions and SECULAR visions of progress and modernity." He supports SECULARISM  MEANING HE OPPOSES RULING ACCORDING TO GOD'S LAW. THIS IS APOSTASY! How do you feel about your government ministers being apostates? http://www.khaleejtimes.com/nation/government/together-we-will-rebuild-region-uae The UAE government seems to be highly opposed to Islam. Do you think that when the government speaks out against "Islamism"  it's really condemning Islam? The people here don't understand what I'm saying. I'm not talking about terrorist organizations. The UAE government and ministers have made it clear in the past that "religion should be separated from politics" and that secularism should be implemented in the Middle East. You can find the sources for these quite clear on the int""iratis: Do you agree that your government's opposition to Islamism stems from their hatred of Islam?  From the Khaleej Times: Dr Gargash said: "In particular  we must develop better legal mechanisms to not only combat the violent actions of terrorists  but also their extremist ideologies  which aim to undermine state structures and institutions and SECULAR visions of progress and modernity." He supports SECULARISM  MEANING HE OPPOSES RULING ACCORDING TO GOD'S LAW. THIS IS APOSTASY! How do you feel about your government ministers being apostates? http://www.khaleejtimes.com/nation/government/together-we-will-rebuild-region-uae The UAE government seems to be highly opposed to Islam. Do you think that when the government speaks out against "Islamism"  it's really condemning Islam? The people here don't understand what I'm saying. I'm not talking about terrorist organizations. The UAE government and ministers have made it clear in the past that "religion should be ""ratis: Do you agree that your government's opposition to Islamism stems from their hatred of Islam?  From the Khaleej Times: Dr Gargash said: "In particular  we must develop better legal mechanisms to not only combat the violent actions of terrorists  but also their extremist ideologies  which aim to undermine state structures and institutions and SECULAR visions of progress and modernity." He supports SECULARISM  MEANING HE OPPOSES RULING ACCORDING TO GOD'S LAW. THIS IS APOSTASY! How do you feel about your government ministers being apostates? http://www.khaleejtimes.com/nation/government/together-we-will-rebuild-region-uae The UAE government seems to be highly opposed to Islam. Do you think that when the government speaks out against "Islamism"  it's really condemning Islam? The people here don't understand what I'm s""atis: Do you agree that your government's opposition to Islamism stems from their hatred of Islam?  From the Khaleej Times: Dr Gargash said: "In particular  we must develop better legal mechanisms to not only combat the violent actions of terrorists  but also their extremist ideologies  which aim to undermine state structures and institutions and SECULAR visions of progress and modernity." He supports SECULARISM  MEANING HE OPPOSES RULING ACCORDING TO GOD'S LAW. THIS IS APOSTASY! How do you feel about your government ministers being apostates? http://www.khaleejtimes.com/nation/government/together-we-will-rebuild-region-uae The UAE government seems to be highly opposed to Islam. ""tis: Do you agree that your government's opposition to Islamism stems from their hatred of Islam?  From the Khaleej Times: Dr Gargash said: "In particular  we must develop better legal mechanisms to not only combat the violent actions of terrorists  but also their extremist ideologies  which aim to undermine state structures and institutions and SECULAR visions of progress and modernity." He supports SECULARISM  MEANING HE OPPOSES RULING ACCORDING TO GOD'S LAW. THIS IS APOSTASY! How do you feel about your government ministers being apostate""is: Do you agree that your government's opposition to Islamism stems from their hatred of Islam?  From the Khaleej Times: Dr Gargash said: "In particular  we must develop better legal mechanisms to not only combat the violent actions of terrorists  but also their extremist ideologies  which aim to undermine state structures and institutions and SECULAR visions of progress and modernity." He supports SE""s: Do you agree that your government's opposition to Islamism stems from their hatred of Islam?  From the Khaleej Times: Dr Gargash said: "In particular  we must develop better legal mechanisms to not only combat the violent actions of terrorists  but also their ex"": Do you agree that your government's opposition to Islamism stems from their hatred of Islam?  From the Khaleej Times: Dr Gar",Particulares
20151101210221AATACFT,Do French restauraunts have kids menus?  I am making a menu for my french class and was wondering if it could be a kids menu. Thanks!,Particulares
20151102022520AAM03zZ,What is the most difficult job to do? Finding the leak or repairing the leaks?  ,Particulares
20151102022601AAw64dk,"Why do black people still act suppressed?  They still separate themselves by calling one another "brother" while claiming they want equality with whites. If that were true  they wouldn't see themselves as superior. And why are out of wedlock birthrates so high among the African American community. Is marriage a bridge too far for them? Should we send the blacks back to Africa along with the gays to maintain peace in the Us?""hy do black people still act suppressed?  They still separate themselves by calling one another "brother" while claiming they want equality with whites. If that were true  they wouldn't see themselves as superior. And why are out of wedlock birthrates so high among the African American community. Is marriage a bridge too far fo""y do black people still act suppressed?  They still separate themselves by calling one another "brother" while claiming they want equality with whites. If that were true  they wouldn't see themselves as superior. And why are out of "" do black people still act suppressed?  They still separate themselves by calling one another "brother" while claiming they want equalit""do black people still act suppressed?  Th",Particulares
20151102072923AA12vsN,Difference between a record and a vinyl?  simple English please,Particulares
20151102095707AA8NTsj,Refund on debit card?  I went to a store (kohls) to return an item that I purchased with my debit card. They gave me a receipt as proof of the return. They asked me for the expiration date of my debit...and I realized that it expired two days ago. But the lady seemed to be okay with it. I know that it takes a few days/few weeks to process...but will this cause issues with my return?,Particulares
20151102100134AA0Um2x,If i have 1/3 spaghetti how many meals will 4 packets of spaghetti last?  ,Particulares
20151102113639AAI8tjL,How can I play my photos from my computer to my big screan TV?  ,Particulares
20151102152234AASj29x,HOW TO GET YAHOO PROFILE AVATAR?  ,Particulares
20151102153017AAxBg8A,"I think my dads dating someone??  So my parents are divorced and I junk my dad is seeing someone. He went out of town for work and instead of having me watch my dog or taking him to this doggy day care place he goes to he said "my friend is watching him" I wasn t comfortable at all with this. Especially since my dog is my baby and I was very nervous as I don t know who this person is. The person watched the dog or whatever. Well today when I come home from school I went in to my dads room to use the bathroom and when I walked in I saw women s clothes on the nightstand. I m extremely mad at him. That he s letting some ransom person in my home with my animals. I also don t want a dumb *** "step mom" I have one mom and that s enough. I will most likely hate this person so how do I approach my dad on this"" think my dads dating someone??  So my parents are divorced and I junk my dad is seeing someone. He went out of town for work and instead of having me watch my dog or taking him to this doggy day care place he goes to he said "my friend is watching him" I wasn t comfortable at all with this. Especially since my dog is my baby and I was very nervous as I don t know who this person is. The person watched the dog or whatever. Well today when I come home from school I went in to my dads room to use the bathroom and when I walked in I saw women s clothes on the nightstand. I m extre""think my dads dating someone??  So my parents are divorced and I junk my dad is seeing someone. He went out of town for work and instead of having me watch my dog or taking him to this doggy day care place he goes to he said "my friend is watching him" I wasn t comfortable at all with this. Especially since my dog is my baby and I was very nervous as I do""hink my dads dating someone??  So my parents are divorced and I junk my dad is seeing someone. He went out of town for work and ins",Particulares
